ntokens,avgsaliency,stddev,min,max,median,firstquartile,thirdquartile,avgplusstddev,avgminusstddev
1,0.9743386848435751,0.03844454688517026,0.3333333333333333,1.0,0.987012987012987,0.9642857142857143,1.0,1.0127832317287453,0.9358941379584048
2,0.7539173272163553,0.16121254752461797,0.0,1.0,0.7808988764044944,0.6551724137931034,0.8823529411764706,0.9151298747409733,0.5927047796917373
3,0.3631330816077339,0.239046415553701,0.0,1.0,0.33695652173913043,0.16326530612244897,0.5339600131643903,0.6021794971614349,0.12408666605403287
4,0.08633590829661043,0.11230651746011833,0.0,0.8701298701298701,0.045454545454545456,0.012195121951219513,0.1130952380952381,0.19864242575672875,-0.025970609163507893
