cnt,operation,ntokens,avgsaliency,median
2930,jmpunknown,2,0.1531305297213868,0.09278350515463918
312,jmpunknown,4,0.36908279201261074,0.3458831808585503
3041,jmpunknown,5,0.2799693466206185,0.2413793103448276
295,jmpunknown,6,0.2946543303591083,0.25
7,jmpunknown,7,0.5836053652230123,0.6666666666666666
76,jmpunknown,8,0.15887744489457759,0.11564171122994651
1,jmpunknown,11,0.48148148148148145,0.48148148148148145
1,jmpunknown,17,0.7105263157894737,0.7105263157894737
