ntokens,avgsaliency,stddev,min,max,median,firstquartile,thirdquartile,avgplusstddev,avgminusstddev
1,0.47340873396777267,0.310556243948851,0.0,1.0,0.475,0.17272727272727273,0.7528089887640449,0.7839649779166237,0.16285249001892166
2,0.5355172335310672,0.28855492240168856,0.0,1.0,0.5409836065573771,0.2887700534759358,0.7897435897435897,0.8240721559327557,0.2469623111293786
3,0.4861501477497619,0.2916652198974043,0.0,1.0,0.48360655737704916,0.23255813953488372,0.7368421052631579,0.7778153676471662,0.1944849278523576
4,0.5583485388641997,0.2649519522297632,0.0,1.0,0.5833333333333334,0.34444444444444444,0.7777777777777778,0.8233004910939629,0.29339658663443646
