cnt,operation,ntokens,avgsaliency,median
9128,callunknown,2,0.35094710537661766,0.2848101265822785
INSERTED FOR JUMP IN FIGURE,callunknown,3,0.35094710537661766,inf
1681,callunknown,4,0.3579859840747468,0.33613445378151263
121654,callunknown,5,0.38169531235792487,0.3611111111111111
11645,callunknown,6,0.3373517898897246,0.3068181818181818
INSERTED FOR JUMP IN FIGURE,callunknown,7,0.3373517898897246,inf
10178,callunknown,8,0.3014557146425858,0.2553191489361702
157,callunknown,9,0.12038973765404769,0.06870229007633588
