ntokens,avgsaliency,stddev,min,max,median,firstquartile,thirdquartile,avgplusstddev,avgminusstddev
1,0.9745377805522663,0.040347422846651916,0.5256410256410257,1.0,0.989247311827957,0.9649122807017544,1.0,1.0148852033989182,0.9341903577056143
2,0.8945131070572637,0.06913642461707772,0.2,1.0,0.9065420560747663,0.8571428571428571,0.9466666666666667,0.9636495316743414,0.825376682440186
3,0.6428333324273486,0.152305507385668,0.0,1.0,0.6547619047619048,0.5384615384615384,0.7592592592592593,0.7951388398130166,0.49052782504168063
4,0.4880884836157231,0.127447673501831,0.0,1.0,0.4897959183673469,0.40869565217391307,0.5683453237410072,0.6155361571175542,0.3606408101138921
5,0.4197590958252966,0.12851892122473396,0.0,1.0,0.4166666666666667,0.3333333333333333,0.5,0.5482780170500305,0.2912401746005626
6,0.35286818171480105,0.1343105495919974,0.0,1.0,0.3469387755102041,0.2619047619047619,0.4381443298969072,0.48717873130679845,0.21855763212280366
7,0.32566844714217713,0.14056632723395554,0.0,1.0,0.313953488372093,0.22807017543859648,0.4097222222222222,0.4662347743761327,0.1851021199082216
8,0.25032883432683384,0.12011882731093951,0.0,1.0,0.23958333333333334,0.16666666666666666,0.32142857142857145,0.3704476616377733,0.13021000701589433
9,0.2291015996628019,0.13221438290165435,0.0,1.0,0.2138364779874214,0.12962962962962962,0.3125,0.3613159825644563,0.09688721676114756
10,0.1390288397854534,0.09633946102001013,0.0,1.0,0.12337662337662338,0.06896551724137931,0.19014084507042253,0.23536830080546356,0.04268937876544328
11,0.16567646046535153,0.11383781974692914,0.0,1.0,0.14606741573033707,0.08461538461538462,0.22285714285714286,0.27951428021228064,0.051838640718422396
12,0.09326393108312842,0.08767272178020565,0.0,1.0,0.07608695652173914,0.034482758620689655,0.13043478260869565,0.18093665286333405,0.00559120930292277
13,0.0801854608754415,0.07225315608588392,0.0,1.0,0.06417112299465241,0.03048780487804878,0.11392405063291139,0.15243861696132543,0.007932304789557573
14,0.07134124246589528,0.06872682091544523,0.0,1.0,0.05660377358490566,0.023809523809523808,0.10204081632653061,0.1400680633813405,0.0026144215504500523
15,0.05806503499552968,0.06281603599605144,0.0,1.0,0.042682926829268296,0.017142857142857144,0.08077671121149382,0.12088107099158113,-0.004751001000521761
16,0.059563321160574764,0.06067769218699914,0.0,0.9931506849315068,0.046153846153846156,0.020833333333333332,0.08181818181818182,0.1202410133475739,-0.0011143710264243725
17,0.05600318729565025,0.06304805242731501,0.0,1.0,0.0392156862745098,0.014084507042253521,0.08196721311475409,0.11905123972296526,-0.00704486513166476
18,0.06833617667926896,0.06855270734260462,0.0,1.0,0.05309734513274336,0.020960714677992168,0.09763106251752174,0.13688888402187357,-0.00021653066333565674
19,0.04283690224925083,0.05675480184541,0.0,1.0,0.026607669616519176,0.005747126436781609,0.06289308176100629,0.09959170409466084,-0.013917899596159168
20,0.04532575195879999,0.060965146677181385,0.0,1.0,0.029411764705882353,0.007462686567164179,0.06422018348623854,0.10629089863598137,-0.015639394718381397
